seq_id	Colour_corr
40743	white
40744	black
40745	white
40746	beige
40747	beige
40748	beige
40749	white
40750	beige
40751	black
40783	brown
40784	GreenishRed
40785	white
40786	beige
40787	mix
40788	black
40789	white
40790	beige
40791	black
40792	black
40793	brown
40794	white
40795	white
40796	GreenishRed
40797	white
40798	GreenishRed
40799	white
40800	white
40801	white
40802	mix
40803	white
40804	white
40805	beige
40806	white
40807	beige
40808	white
40809	white
40810	beige
40811	white
40812	white
40813	yellow
40814	beige
40815	white
40816	brown
40817	brown
40818	yellow
40819	white
40820	white
40821	white
40822	white
40823	yellow
40824	orange
40825	yellow
40826	white
40827	orange
40828	red
40829	beige
40830	orange
40831	unclear
40832	orange
40833	yellow
40834	white
40835	orange
40836	yellow
40837	yellow
40838	yellow
40839	white
40840	yellow
40841	mix
40842	mix
40843	red
40844	brown
40845	black
40846	white
41591	yellow
41592	yellow
41593	beige
41594	orange
41595	orange
41596	beige
41597	red
41598	orange
41599	orange
41600	orange
41601	beige
41602	GreenishRed
41603	orange
41604	orange
41605	orange
41606	yellow
41607	GreenishRed
41608	beige
41609	orange
41610	red
41611	orange
41612	mix
41613	yellow
41614	beige
41615	white
41616	white
41617	black
41618	yellow
41619	white
41620	white
41621	beige
41622	beige
41623	beige
41624	mix
41625	white
41626	GreenishRed
41627	yellow
41628	orange
41629	light
41630	white
41631	white
41632	orange
41633	red
41634	orange
41635	white
41636	orange
41637	orange
41638	yellow
41639	orange
41640	beige
41641	yellow
41642	mix
41643	red
41644	orange
41645	yellow
42278	beige
42279	white
42280	yellow
42281	yellow
42282	yellow
42283	white
42284	white
42285	white
42286	beige
42287	yellow
42288	beige
42289	yellow
42290	white
42291	beige
42292	brown
42293	beige
42294	yellow
42295	beige
42296	red
42297	mix
42298	white
42299	beige
42300	white
42301	white
43549	white
43550	yellow
43551	yellow
43552	white
